Frame,LeftArmError,RightArmError,LeftLegError,RightLegError
564,0.4823,0.1988,0.2311,0.2282
565,0.2883,0.3416,0.2260,0.3010
566,0.4731,0.1990,0.2314,0.2259
567,0.2874,0.3420,0.2259,0.3011
568,0.4656,0.1992,0.2314,0.2238
569,0.2865,0.3424,0.2259,0.3011
570,0.2859,0.3427,0.2259,0.3011
571,0.4546,0.1992,0.2328,0.2210
572,0.2849,0.3430,0.2259,0.3012
573,0.4440,0.1993,0.2343,0.2186
574,0.2837,0.3435,0.2259,0.3012
575,0.4344,0.1993,0.2352,0.2162
576,0.2827,0.3439,0.2258,0.3012
577,0.4265,0.1993,0.2361,0.2140
578,0.2816,0.3443,0.2258,0.3012
579,0.4189,0.1992,0.2370,0.2128
580,0.2804,0.3448,0.2258,0.3012
581,0.2798,0.3450,0.2258,0.3012
582,0.4100,0.1991,0.2380,0.2127
583,0.2789,0.3453,0.2257,0.3012
584,0.4030,0.1990,0.2387,0.2123
585,0.2778,0.3457,0.2257,0.3013
586,0.3954,0.1989,0.2394,0.2124
587,0.2764,0.3462,0.2257,0.3013
588,0.3882,0.1988,0.2399,0.2120
589,0.2752,0.3467,0.2257,0.3013
590,0.3808,0.1988,0.2405,0.2113
591,0.2739,0.3473,0.2256,0.3010
592,0.3736,0.1988,0.2411,0.2087
593,0.2726,0.3478,0.2257,0.3005
594,0.3667,0.1988,0.2416,0.2057
595,0.2714,0.3483,0.2257,0.3002
596,0.2707,0.3486,0.2257,0.3001
597,0.3581,0.1988,0.2424,0.2048
598,0.2699,0.3489,0.2256,0.3001
599,0.3223,0.2078,0.2098,0.2879
600,0.2353,0.3700,0.2136,0.2925
601,0.2209,0.3801,0.2264,0.2955
602,0.2823,0.2233,0.2577,0.3015
603,0.2069,0.3912,0.2519,0.3030
604,0.1985,0.3988,0.2752,0.3104
605,0.2288,0.2358,0.3271,0.3271
606,0.1900,0.4077,0.3081,0.3212
607,0.1855,0.4135,0.3318,0.3291
608,0.2272,0.2428,0.3813,0.3565
609,0.1813,0.4201,0.3627,0.3395
610,0.1979,0.2396,0.4534,0.3700
611,0.1790,0.4256,0.3922,0.3492
612,0.1785,0.4278,0.4059,0.3535
613,0.2477,0.2287,0.5003,0.4499
614,0.1787,0.4300,0.4227,0.3586
615,0.1794,0.4308,0.4327,0.3614
616,0.2752,0.2126,0.5253,0.5435
617,0.1810,0.4307,0.4414,0.3638
618,0.1826,0.4299,0.4453,0.3649
619,0.2979,0.1927,0.5290,0.5828
620,0.2268,0.1917,0.5678,0.6012
621,0.1909,0.4228,0.4383,0.3649
