Frame,FPS,MemoryMB,BelowTarget
552,113.76,1507.73,0
553,168.98,1507.95,0
554,193.08,1507.88,0
555,131.05,1507.90,0
556,168.73,1508.00,0
557,190.00,1508.05,0
558,126.56,1507.63,0
559,187.28,1507.71,0
560,209.33,1507.87,0
561,206.40,1508.13,0
562,118.63,1508.03,0
563,203.84,1507.73,0
564,199.96,1508.14,0
565,133.42,1507.82,0
566,215.42,1507.82,0
567,183.66,1508.08,0
568,191.05,1508.10,0
569,127.80,1507.84,0
570,200.36,1507.66,0
571,208.48,1507.96,0
572,125.18,1507.84,0
573,187.04,1508.01,0
574,186.76,1508.10,0
575,106.20,1508.19,0
576,165.12,1508.36,0
577,179.50,1508.42,0
578,121.85,1508.34,0
579,168.66,1508.35,0
580,167.64,1508.35,0
581,119.99,1508.34,0
582,188.10,1508.29,0
583,178.90,1508.35,0
584,110.25,1508.45,0
585,162.77,1508.47,0
586,163.18,1508.45,0
587,124.05,1508.41,0
588,174.54,1508.28,0
589,192.48,1508.31,0
590,113.64,1508.33,0
591,179.07,1508.19,0
592,186.13,1508.35,0
593,114.73,1508.27,0
594,181.42,1508.25,0
595,159.21,1508.18,0
596,113.36,1508.23,0
597,150.10,1508.27,0
598,177.48,1508.13,0
599,106.56,1508.04,0
600,175.43,1508.11,0
601,166.77,1508.10,0
602,125.05,1508.08,0
603,193.30,1508.13,0
604,189.44,1508.07,0
605,121.95,1507.94,0
606,170.01,1508.08,0
607,152.20,1508.06,0
608,120.54,1508.00,0
609,192.75,1508.03,0
610,195.15,1508.19,0
611,125.78,1508.15,0
612,195.86,1508.20,0
613,183.19,1508.38,0
614,111.89,1508.18,0
615,186.98,1508.33,0
616,180.16,1508.43,0
617,130.37,1508.26,0
618,185.55,1508.44,0
619,186.27,1508.48,0
620,190.31,1508.52,0
621,124.71,1508.54,0
622,202.30,1508.52,0
623,198.07,1508.48,0
624,117.62,1508.50,0
625,183.25,1508.49,0
626,205.97,1508.58,0
627,121.95,1508.44,0
628,197.25,1508.60,0
